"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"572","tt0306355","Mon Apr 15 09:10:12 2013","Mon Apr 15 09:10:12 2013","","Mark Twain","Documentary","Ken Burns","6","8.4","212","2001","documentary, biography","520","2001-11-10","http://www.imdb.com/title/tt0306355/"
"573","tt0292508","Mon Apr 15 09:11:06 2013","Mon Apr 15 09:11:06 2013","","Fidel","Documentary","Estela Bravo","8","7.5","91","2001","documentary, biography","468","2001-08-02","http://www.imdb.com/title/tt0292508/"
"574","tt1276191","Mon Apr 15 09:12:09 2013","Mon Apr 15 09:12:09 2013","","Ancient Mysteries: The Hidden City of Petra","TV Episode","Steven Talley","","5.5","","1994","documentary, history, mystery","14","1995-09-08","http://www.imdb.com/title/tt1276191/"
"575","tt0420745","Mon Apr 15 09:13:05 2013","Mon Apr 15 09:13:05 2013","","The Louisiana Purchase","TV Movie","Jonathan Grupper","","7.0","50","2003","history","22","2003-04-28","http://www.imdb.com/title/tt0420745/"
"576","tt1337137","Mon Apr 15 16:25:56 2013","Mon Apr 15 16:25:56 2013","","South of the Border","Documentary","Oliver Stone","8","7.1","78","2009","documentary","2361","2009-09-07","http://www.imdb.com/title/tt1337137/"
"577","tt1606375","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Downton Abbey","TV Series","","8","8.7","58","2010","drama, romance","110019","2010-09-26","http://www.imdb.com/title/tt1606375/"
"578","tt0193676","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Freaks and Geeks","TV Series","","8","8.9","44","1999","comedy, drama","89943","1999-09-25","http://www.imdb.com/title/tt0193676/"
"579","tt1520211","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","The Walking Dead","TV Series","","7","8.6","44","2010","drama, horror, sci_fi, thriller","622373","2010-10-31","http://www.imdb.com/title/tt1520211/"
"580","tt1843230","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Once Upon a Time","TV Series","David Barrett","","8.0","44","2011","adventure, fantasy, romance","166692","2011-10-23","http://www.imdb.com/title/tt1843230/"
"581","tt0903747","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Breaking Bad","TV Series","","8","9.5","49","2008","crime, drama, thriller","857099","2008-01-20","http://www.imdb.com/title/tt0903747/"
"582","tt1475582","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Sherlock","TV Series","","7","9.3","88","2010","crime, drama, mystery","489975","2010-07-25","http://www.imdb.com/title/tt1475582/"
"583","tt1124373","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Sons of Anarchy","TV Series","","6","8.6","45","2008","crime, drama, thriller","177388","2008-09-03","http://www.imdb.com/title/tt1124373/"
"584","tt1578873","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Pretty Little Liars","TV Series","","","7.7","60","2010","drama, mystery, romance, thriller","113270","2010-06-08","http://www.imdb.com/title/tt1578873/"
"585","tt1837642","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","Revenge","TV Series","","5","8.0","44","2011","drama, mystery, thriller","97851","2011-09-21","http://www.imdb.com/title/tt1837642/"
"586","tt1358522","Wed Apr 17 02:51:25 2013","Wed Apr 17 02:51:25 2013","","White Collar","TV Series","","7","8.3","40","2009","comedy, crime, drama, mystery","92840","2009-10-23","http://www.imdb.com/title/tt1358522/"
"587","tt1405406","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","The Vampire Diaries","TV Series","","","7.9","43","2009","drama, fantasy, horror, mystery, romance, thriller","216964","2009-09-10","http://www.imdb.com/title/tt1405406/"
"588","tt1699748","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","Hell on Wheels","TV Series","","8","8.3","42","2011","drama, western","37057","2011-11-06","http://www.imdb.com/title/tt1699748/"
"589","tt0460681","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","Supernatural","TV Series","","6","8.6","44","2005","drama, fantasy, horror, mystery, thriller","279396","2005-09-13","http://www.imdb.com/title/tt0460681/"
"590","tt1832979","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","Hart of Dixie","TV Series","","","7.8","60","2011","comedy, drama, romance","34033","2011-09-26","http://www.imdb.com/title/tt1832979/"
"591","tt1486217","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","Archer","TV Series","","","8.8","22","2009","animation, action, comedy","86375","2009-09-17","http://www.imdb.com/title/tt1486217/"
"592","tt1758772","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","Switched at Birth","TV Series","","","7.8","60","2011","drama, family","18570","2011-06-06","http://www.imdb.com/title/tt1758772/"
"593","tt1615919","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","Raising Hope","TV Series","","5","8.0","22","2010","comedy, family","30060","2010-09-01","http://www.imdb.com/title/tt1615919/"
"594","tt0460649","Wed Apr 17 02:51:26 2013","Wed Apr 17 02:51:26 2013","","How I Met Your Mother","TV Series","","6","8.4","22","2005","comedy, romance","445155","2005-09-19","http://www.imdb.com/title/tt0460649/"
