"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"45","tt0064916","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Sabata","Feature Film","Frank Kramer","7","6.9","111","1969","western","3167","1969-09-16","http://www.imdb.com/title/tt0064916/"
"46","tt0077270","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","The Boys in Company C","Feature Film","Sidney J. Furie","7","7.1","125","1978","drama, war","2143","1978-02-02","http://www.imdb.com/title/tt0077270/"
"47","tt0057831","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Zorba the Greek","Feature Film","Michael Cacoyannis","7","7.8","142","1964","comedy, drama","15191","1964-12-14","http://www.imdb.com/title/tt0057831/"
"48","tt0081562","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Stir Crazy","Feature Film","Sidney Poitier","7","6.8","111","1980","comedy, crime","18056","1980-12-12","http://www.imdb.com/title/tt0081562/"
"49","tt0058947","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Battle of the Bulge","Feature Film","Ken Annakin","7","6.8","167","1965","drama, history, war","10938","1965-12-16","http://www.imdb.com/title/tt0058947/"
"50","tt0379225","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","The Corporation","Documentary","Mark Achbar, Jennifer Abbott","7","8.2","145","2003","documentary, history","17890","2003-09-10","http://www.imdb.com/title/tt0379225/"
"51","tt0080437","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","The Big Red One","Feature Film","Samuel Fuller","7","7.2","113","1980","drama, war","15304","1980-05-28","http://www.imdb.com/title/tt0080437/"
"52","tt0066049","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","A Man Called Horse","Feature Film","Elliot Silverstein","7","6.9","114","1970","adventure, drama, western","6542","1970-04-18","http://www.imdb.com/title/tt0066049/"
"53","tt0111732","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","With Honors","Feature Film","Alek Keshishian","7","6.7","103","1994","comedy, drama","10926","1994-04-29","http://www.imdb.com/title/tt0111732/"
"54","tt0380268","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Cocaine Cowboys","Documentary","Billy Corben","7","7.9","118","2006","documentary, crime","10361","2006-04-26","http://www.imdb.com/title/tt0380268/"
"55","tt0141974","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","The War Zone","Feature Film","Tim Roth","7","7.4","98","1999","drama","8011","1999-01-29","http://www.imdb.com/title/tt0141974/"
